,person,time,numeric_value,non_numeric_value,offer completed,offer received,offer viewed,transaction,total_transaction_value
0,0009655768c64bdeb2e877511632db8f,696,127.6,f19421c1d4aa40978ebb69ca19b0e20d,60,100,80,160,2552.0
1,00116118485d4dfda04fdbaba9a87b5c,630,4.09,,0,14,14,21,28.63
2,0011e0d4e6b944f998e987f904e8c1e5,654,79.46000000000001,2298d6c36e964ae4a3e7e9706d1fb8c2,54,90,90,90,1430.2800000000002
3,0020c2b971eb4e9188eac86d93036a77,708,196.85999999999999,fafdcd668e3743c1bb461111dcafc2a4,57,95,57,152,3740.3399999999997
4,0020ccbbb6d84e358d3414a3ff76cffd,672,154.05,2298d6c36e964ae4a3e7e9706d1fb8c2,69,92,92,276,3543.15
5,003d66b6608740288d6cc97a6903f4f0,696,48.34,fafdcd668e3743c1bb461111dcafc2a4,90,150,120,540,1450.2
6,00426fe3ffde4c6b9cb9ad6d077a13ea,696,68.50999999999999,fafdcd668e3743c1bb461111dcafc2a4,25,125,50,425,1712.7499999999998
7,004b041fbfe44859945daa2c7f79ee64,714,138.36,f19421c1d4aa40978ebb69ca19b0e20d,26,39,26,78,1798.6800000000003
8,004c5799adbf42868b9cff0396190900,690,347.38,fafdcd668e3743c1bb461111dcafc2a4,130,130,104,312,9031.88
9,005500a7188546ff8a767329a2f7c76a,588,20.36,9b98b8c7a33c4b65b9aebfe6a799e6d9,13,65,39,52,264.68
10,0056df74b63b4298809f0b375a304cf4,672,144.14,9b98b8c7a33c4b65b9aebfe6a799e6d9,45,60,45,75,2162.1
11,0063def0f9c14bc4805322a488839b32,576,7.21,,0,65,65,39,93.73
12,0069a50874d846438e58acff5e594725,696,33.5,2906b810c7d4411798c6938adc9daaa5,11,44,11,55,368.5
13,00715b6e55c3431cb56ff7307eb19675,702,375.12,ae264e3637204a6fb9bb56bc8210ddfd,145,174,87,435,10878.48
14,0082fd87c18f45f2be70dbcbb0fb8aad,696,121.85,9b98b8c7a33c4b65b9aebfe6a799e6d9,36,90,72,126,2193.2999999999997
15,00840a2ca5d2408e982d56544dc14ffd,684,62.93,fafdcd668e3743c1bb461111dcafc2a4,84,168,56,476,1762.04
16,00857b24b13f4fe0ad17b605f00357f5,624,6.260000000000001,,0,60,36,48,75.12
17,008d7088107b468893889da0ede0df5c,606,16.18,,0,108,90,126,291.24
18,0091d2b6a5ea4defaa8393e4e816db60,576,279.16,4d5c57ea9a6940dd891ad53e9dbe8da0,104,130,130,312,7258.160000000001
19,0092a132ead946ceb30d11a1ed513d20,582,2.54,,0,90,90,45,38.1
20,0099bf30e4cb4265875266eb3eb25eab,594,105.83,fafdcd668e3743c1bb461111dcafc2a4,38,95,57,171,2010.77
21,009d10c2c38a4fd795a7bc6ddbbddb78,684,11.78,,0,85,85,119,200.26
22,00a794f62b9a48beb58f8f6c02c2f1a6,600,166.4,f19421c1d4aa40978ebb69ca19b0e20d,22,110,110,242,3660.8
23,00ad4c2cace94f67a6354ec90d6c6f45,624,20.73,,0,90,90,144,373.14
24,00ae03011f9f49b8a4b3e6d416678b0b,696,218.05,2298d6c36e964ae4a3e7e9706d1fb8c2,92,138,115,184,5015.150000000001
25,00aee28bbb3848dd8a31f0c91dc267dd,600,20.53,,0,30,20,50,205.3
26,00b18b535d6d4f779dea4dc9ac451478,702,133.25,2298d6c36e964ae4a3e7e9706d1fb8c2,54,90,90,90,2398.5
27,00b3400e4ff64ee68ce9ada1d0c222f0,702,163.92000000000002,ae264e3637204a6fb9bb56bc8210ddfd,60,100,40,200,3278.4000000000005
28,00b3c376db2a4115af3aef34a02f61d6,678,219.63,ae264e3637204a6fb9bb56bc8210ddfd,48,48,32,128,3514.08
29,00b5fb9d842d437e83033ad9e36f7148,660,7.74,,0,27,27,27,69.66
30,00b901d68f8f4fd68075184cd0f772d2,636,53.550000000000004,,0,48,48,48,642.6
31,00bbce6533f44ddeaf4dd32bcab55441,630,77.21,2906b810c7d4411798c6938adc9daaa5,54,72,72,126,1389.78
32,00bc42a62f884b41a13cc595856cf7c3,702,150.64,2906b810c7d4411798c6938adc9daaa5,110,110,88,176,3314.08
33,00bc983061d3471e8c8e74d31b7c8b6f,504,63.5,ae264e3637204a6fb9bb56bc8210ddfd,10,40,20,30,635.0
34,00c20a9202d5475190b31a24de6fb06d,624,164.01,f19421c1d4aa40978ebb69ca19b0e20d,80,80,80,160,3280.2
35,00c2f812f4604c8893152a5c6572030e,600,124.09,fafdcd668e3743c1bb461111dcafc2a4,51,85,68,85,2109.53
36,00c32a104f0c4065b5b552895fb22e34,654,6.9799999999999995,,0,36,27,18,62.81999999999999
37,00c5a385c71a4d3db5e9b4e31e430943,576,2.59,,0,72,48,24,31.08
38,00c6035df45840038a72766c6d27a0db,666,241.55,fafdcd668e3743c1bb461111dcafc2a4,66,88,88,242,5314.1
39,00c91f31f5f74e769fa7a359b63e1a9f,678,134.74,2298d6c36e964ae4a3e7e9706d1fb8c2,78,130,104,364,3503.2400000000002
40,00ceaf16a40341e6996d543d04daa2c2,690,26.98,,0,90,72,162,485.64
41,00cf1bbec83f4a658f8994e556db4633,564,64.27000000000001,fafdcd668e3743c1bb461111dcafc2a4,22,33,33,33,706.9700000000001
42,00cf471ed1aa42a8bdde5561d67da2b1,660,26.18,9b98b8c7a33c4b65b9aebfe6a799e6d9,17,85,51,136,445.06
43,00d6dc87be4146ceb47fcd4baaaf6477,672,334.64,9b98b8c7a33c4b65b9aebfe6a799e6d9,135,162,108,324,9035.279999999999
44,00d791e20c564add8056498e40eb56cc,654,59.62,2298d6c36e964ae4a3e7e9706d1fb8c2,132,165,165,627,1967.4599999999998
45,00d7c95f793a4212af44e632fdc1e431,666,162.42000000000002,4d5c57ea9a6940dd891ad53e9dbe8da0,100,100,60,140,3248.4000000000005
46,00d91c5919514448bc4f718e4e3f26ab,708,44.599999999999994,ae264e3637204a6fb9bb56bc8210ddfd,12,60,48,24,535.1999999999999
47,00e20b4ca129458aaab0f4727ef3513a,708,191.54999999999998,fafdcd668e3743c1bb461111dcafc2a4,56,84,84,560,5363.4
48,00e52682848542c3a6f59b7824e9a5c5,624,23.07,0b1e1539f2cc45b7b9fa7c272da2e1d7,12,60,48,24,276.84000000000003
49,00e8d701c583461e81cc10053681a12b,702,30.98,2298d6c36e964ae4a3e7e9706d1fb8c2,15,60,45,105,464.7
50,00e9f403afa641889cd034ee7c7ca6e9,708,614.59,0b1e1539f2cc45b7b9fa7c272da2e1d7,87,145,116,493,17823.11
51,00ed7e22b32749cfafbfd88592d401d4,690,236.96,9b98b8c7a33c4b65b9aebfe6a799e6d9,60,80,40,220,4739.2
52,00ee2ca6421c4af0aeca60a1b3e00f6c,708,4.03,,0,36,36,9,36.27
53,00ee69db83964d6da32f8109b32a1ce7,714,15.79,,0,70,56,70,221.06
54,00fac72fd6ad448e8019b175267023df,648,186.23000000000002,ae264e3637204a6fb9bb56bc8210ddfd,88,88,88,220,4097.06
55,00fbb9b5edb94f02afbaf1eb49bb4d7d,582,80.1,ae264e3637204a6fb9bb56bc8210ddfd,10,30,30,30,801.0
56,00fdd4416dec40b49180814c0a7c8d76,600,76.65,fafdcd668e3743c1bb461111dcafc2a4,9,27,18,27,689.85
57,0100dbd4e8554aa69b73b6ac0547f6bf,672,6.55,,0,24,16,24,52.4
58,0103de989e084e0fab400e80678d7591,666,144.97,0b1e1539f2cc45b7b9fa7c272da2e1d7,120,120,72,264,3479.2799999999997
59,0106d19a26af41288035afc4b9b6c2c2,714,21.24,f19421c1d4aa40978ebb69ca19b0e20d,18,90,36,180,382.32
60,01162252405b4524a8fa1bf8e6d5f04b,690,129.85999999999999,2298d6c36e964ae4a3e7e9706d1fb8c2,128,192,128,576,4155.5199999999995
61,01176ee7289b48e39ee6261d5c071a07,654,20.200000000000003,2906b810c7d4411798c6938adc9daaa5,13,52,39,65,262.6
62,0118fbb66dd2443a9dd407d2c99a7672,546,64.04,,0,44,44,33,704.44
63,0121fe001b7a404fa9cbe486f8944baf,576,191.68,0b1e1539f2cc45b7b9fa7c272da2e1d7,51,102,34,102,3258.56
64,0123564dbaf144a88a418c33b6350c17,576,176.74,fafdcd668e3743c1bb461111dcafc2a4,32,80,48,96,2827.84
65,012ee55a90bd4d969b0d0cdfaffdf6ab,654,9.98,,0,138,138,253,229.54000000000002
66,013094309e1b49e095c098df412d125d,714,69.18,2298d6c36e964ae4a3e7e9706d1fb8c2,99,165,165,660,2282.94
67,01380da907f8495496679c795867790b,576,154.99,4d5c57ea9a6940dd891ad53e9dbe8da0,34,68,51,136,2634.83
68,013f2c82889f4641a9b847a48861cce0,666,186.54000000000002,f19421c1d4aa40978ebb69ca19b0e20d,60,80,80,180,3730.8
69,0141d3870a424c03a20390040efad826,630,6.32,,0,60,36,48,75.84
